,origin,destination,register,flight_num,airplane,scheduled_date,scheduled_time,actual_date,actual_time,day,status1,status2,airline_icao,international,delay,ftype,miladi_scheduled,miladi_actual,id,airline,latitude_deg,longitude_deg
289,OIII,OING,,IRC630,ATR-72-500,1402-01-03,07:50:00,1402-01-03,07:50:00,پنج شنبه,طبق برنامه ,NULL,IRC,0,0,arrival,2023-03-23,2023-03-23,290,آسمان,35.68920135498047,51.31340026855469
290,OIBB,OIII,NULL,IRC3915,NULL,1402-01-03,07:40:00,1402-01-03,07:40:00,پنجشنبه,NULL,NULL,EP,0,0,departure,2023-03-23,2023-03-23,291, آسمان,28.9447994232,50.8345985413
291,OISS,OIII,EPASR,IRC3770,F100,1402-01-03,07:25:00,1402-01-03,07:18:00,پنج شنبه,نشست ,NULL,IRC,0,-7,arrival,2023-03-23,2023-03-23,292,آسمان,29.5392,52.589802
292,OISS,OIII,,IRC3768,F100,1402-01-03,06:55:00,1402-01-03,06:55:00,پنج شنبه,طبق برنامه ,NULL,IRC,0,0,arrival,2023-03-23,2023-03-23,293,آسمان,29.5392,52.589802
293,OISS,OIII,NULL,IRC3770,100,1402-01-03,06:00:00,1402-01-03,06:02:00,پنجشنبه,NULL,NULL,EP,0,0,departure,2023-03-23,2023-03-23,294,آسمان,29.5392,52.589802
294,OIYY,OIII,NULL,IRC3725,NULL,1402-01-03,23:40:00,1402-01-03,04:40:00,جمعه,پروازکرد04:40,NULL,EP,0,0,departure,2023-03-23,2023-03-23,295,آسمان,31.9048995972,54.2765007019
295,OIMM,OIII,EPATE,IRC611,F100,1402-01-03,01:00:00,1402-01-03,03:04:00,پنج شنبه,نشست ,NULL,IRC,0,124,arrival,2023-03-23,2023-03-23,296,آسمان,36.235198974609375,59.64099884033203
296,OIBK,OISS,NULL,IRC3805,100,1402-01-03,02:00:00,1402-01-03,01:45:00,پنجشنبه,NULL,NULL,EP,0,0,arrival,2023-03-23,2023-03-23,297,آسمان,26.5261993408,53.9802017212
297,OIAA,OIII,EPATF,IRC861,FOKER100,1402-01-03,00:35:00,1402-01-03,01:42:00,پنج شنبه,نشست ,NULL,IRC,0,67,arrival,2023-03-23,2023-03-23,298,آسمان,30.367887,48.230075
298,OIYY,OIII,EPAPQ,IRC3725,737-700,1402-01-03,00:55:00,1402-01-03,01:05:00,پنج شنبه,نشست ,NULL,IRC,0,10,arrival,2023-03-23,2023-03-23,299,آسمان,31.9048995972,54.2765007019
299,OIII,OISS,NULL,IRC3775,100,1402-01-03,01:05:00,1402-01-03,01:05:00,پنجشنبه,NULL,NULL,EP,0,0,arrival,2023-03-23,2023-03-23,300,آسمان,35.68920135498047,51.31340026855469
300,OIAW,OIII,,IRC833,100,1402-01-03,23:40:00,1402-01-04,03:05:00,پنج شنبه,Departed,پرواز كرد ,IRC,0,205,departure,2023-03-23,2023-03-24,301,آسمان,31.3374,48.762001
301,OIII,OIAW,,IRC832,A320,1402-01-03,23:10:00,1402-01-04,02:22:00,پنج شنبه,LANDED,نشست ,IRC,0,192,arrival,2023-03-23,2023-03-24,302,آسمان,35.68920135498047,51.31340026855469
302,OIMM,OISS,,IRC3851,F100,1402-01-03,22:50:00,1402-01-04,00:36:00,پنج شنبه,Departed,NULL,IRC,0,106,departure,2023-03-23,2023-03-24,303,آسمان,36.235198974609375,59.64099884033203
303,OICC,OIII,,IRC625,F-28-1000,1402-01-03,21:20:00,1402-01-04,00:10:00,پنج شنبه,پرواز كرد ,NULL,IRC,0,170,departure,2023-03-23,2023-03-24,304,آسمان,34.3459014893,47.1581001282
304,OIII,OISS,EPATG,IRC3779,F100,1402-01-04,23:55:00,1402-01-04,23:55:00,جمعه,Ready,آماده پرواز ,IRC,0,0,departure,2023-03-24,2023-03-24,305,آسمان,35.68920135498047,51.31340026855469
305,OING,OIII,EPATZ,IRC633,ATR-72-500,1402-01-04,23:50:00,1402-01-04,23:39:00,جمعه,LANDED,نشست ,IRC,0,-11,arrival,2023-03-24,2023-03-24,306,آسمان,36.9094009399,54.4012985229
306,OIII,OIAA,,IRC860,F100,1402-01-04,22:50:00,1402-01-04,23:36:00,جمعه,LANDED,نشست ,IRC,0,46,arrival,2023-03-24,2023-03-24,307,آسمان,35.68920135498047,51.31340026855469
307,OICC,OIII,EPATF,IRC625,F100,1402-01-04,23:10:00,1402-01-04,23:06:00,جمعه,LANDED,نشست ,IRC,0,-4,arrival,2023-03-24,2023-03-24,308,آسمان,34.3459014893,47.1581001282
308,OIII,OIAW,,IRC832,100,1402-01-04,22:00:00,1402-01-04,23:05:00,جمعه,LANDED,نشست ,IRC,0,65,arrival,2023-03-24,2023-03-24,309,آسمان,35.68920135498047,51.31340026855469
309,OISS,OIII,EPATG,IRC3778,F100,1402-01-04,23:05:00,1402-01-04,22:53:00,جمعه,LANDED,نشست ,IRC,0,-12,arrival,2023-03-24,2023-03-24,310,آسمان,29.5392,52.589802
310,OIAW,OIII,,IRC833,100,1402-01-04,22:50:00,1402-01-04,22:50:00,جمعه,Departed,پرواز كرد ,IRC,0,0,departure,2023-03-24,2023-03-24,311,آسمان,31.3374,48.762001
311,OING,OIII,,IRC633,ATR-72-500,1402-01-04,22:35:00,1402-01-04,22:43:00,جمعه,Departed,پرواز كرد ,IRC,0,8,departure,2023-03-24,2023-03-24,312,آسمان,36.9094009399,54.4012985229
312,OIAW,OISS,NULL,IRC3829,100,1402-01-04,22:35:00,1402-01-04,22:35:00,جمعه, باطل شد ,NULL,EP,0,0,arrival,2023-03-24,2023-03-24,313,آسمان,31.3374,48.762001
313,OIII,OIAA,EPAPO,IRC860,737-700,1402-01-04,21:35:00,1402-01-04,22:33:00,جمعه,Departed,پرواز كرد ,IRC,0,58,departure,2023-03-24,2023-03-24,314,آسمان,35.68920135498047,51.31340026855469
314,OICC,OIII,,IRC625,100,1402-01-04,22:10:00,1402-01-04,22:20:00,جمعه,Departed,پرواز كرد ,IRC,0,10,departure,2023-03-24,2023-03-24,315,آسمان,34.3459014893,47.1581001282
315,OINZ,OIAW,,IRC3975,F100,1402-01-04,21:55:00,1402-01-04,22:12:00,جمعه,Departed,پرواز كرد ,IRC,0,17,departure,2023-03-24,2023-03-24,316,آسمان,36.644408,53.188761
316,OICC,OIII,,IRC625,100,1402-01-04,22:10:00,1402-01-04,22:10:00,جمعه,ONTIME,طبق برنامه ,IRC,0,0,departure,2023-03-24,2023-03-24,317,آسمان,34.3459014893,47.1581001282
317,OIII,OIYY,,IRC3724,F100,1402-01-04,21:50:00,1402-01-04,21:50:00,جمعه,Check in Closed,پایان پذیرش مسافر ,IRC,0,0,departure,2023-03-24,2023-03-24,318,آسمان,35.68920135498047,51.31340026855469
318,OIII,OING,,IRC632,ATR-72-500,1402-01-04,21:55:00,1402-01-04,21:50:00,جمعه,LANDED,نشست ,IRC,0,-5,arrival,2023-03-24,2023-03-24,319,آسمان,35.68920135498047,51.31340026855469
319,OISS,OIII,NULL,IRC3778,100,1402-01-04,21:40:00,1402-01-04,21:47:00,جمعه,پروازکرد21:47,NULL,EP,0,0,departure,2023-03-24,2023-03-24,320,آسمان,29.5392,52.589802
320,OIII,OICC,,IRC624,100,1402-01-04,21:40:00,1402-01-04,21:40:00,جمعه,LANDED,نشست ,IRC,0,0,arrival,2023-03-24,2023-03-24,321,آسمان,35.68920135498047,51.31340026855469
321,OIAW,OINZ,,IRC3974,F100,1402-01-04,21:25:00,1402-01-04,21:25:00,جمعه,LANDED,نشست ,IRC,0,0,arrival,2023-03-24,2023-03-24,322,آسمان,31.3374,48.762001
322,OITR,OIII,EPAPO,IRC3855,737,1402-01-04,20:30:00,1402-01-04,21:24:00,جمعه,LANDED,نشست ,IRC,0,54,arrival,2023-03-24,2023-03-24,323,آسمان,37.6680984497,45.0686988831
323,OIII,OIAW,EPATE,IRC832,F100,1402-01-04,20:50:00,1402-01-04,21:02:00,جمعه,Departed,پرواز كرد ,IRC,0,12,departure,2023-03-24,2023-03-24,324,آسمان,35.68920135498047,51.31340026855469
324,OIII,OICC,EPATF,IRC624,F100,1402-01-04,20:40:00,1402-01-04,20:56:00,جمعه,Departed,پرواز كرد ,IRC,0,16,departure,2023-03-24,2023-03-24,325,آسمان,35.68920135498047,51.31340026855469
325,OIII,OIMM,,IRC610,F100,1402-01-04,20:40:00,1402-01-04,20:40:00,جمعه,طبق برنامه ,NULL,IRC,0,0,departure,2023-03-24,2023-03-24,326,آسمان,35.68920135498047,51.31340026855469
326,OIII,OING,EPATZ,IRC632,ATR-72-500,1402-01-04,20:25:00,1402-01-04,20:37:00,جمعه,Departed,پرواز كرد ,IRC,0,12,departure,2023-03-24,2023-03-24,327,آسمان,35.68920135498047,51.31340026855469
327,OIMM,OIII,EPAPQ,IRC603,737-700,1402-01-04,20:05:00,1402-01-04,20:36:00,جمعه,LANDED,نشست ,IRC,0,31,arrival,2023-03-24,2023-03-24,328,آسمان,36.235198974609375,59.64099884033203
328,OITR,OIII,NULL,IRC3855,NULL,1402-01-04,19:15:00,1402-01-04,20:25:00,جمعه,پروازکرد20:25,NULL,EP,0,0,departure,2023-03-24,2023-03-24,329, آسمان,37.6680984497,45.0686988831
329,OIAW,OINZ,,IRC3974,100,1402-01-04,20:00:00,1402-01-04,20:15:00,جمعه,Departed,پرواز كرد ,IRC,0,15,departure,2023-03-24,2023-03-24,330,آسمان,31.3374,48.762001
330,OIII,OISS,NULL,IRC3773,100,1402-01-04,20:30:00,1402-01-04,20:14:00,جمعه, نشست20:14,NULL,EP,0,0,arrival,2023-03-24,2023-03-24,331,آسمان,35.68920135498047,51.31340026855469
331,OIII,OITR,NULL,IRC3854,NULL,1402-01-04,18:30:00,1402-01-04,19:35:00,جمعه, نشست19:35,NULL,EP,0,0,arrival,2023-03-24,2023-03-24,332, آسمان,35.68920135498047,51.31340026855469
332,OIGG,OIII,EPATZ,IRC845,ATR-72-500,1402-01-04,19:30:00,1402-01-04,19:24:00,جمعه,LANDED,نشست ,IRC,0,-6,arrival,2023-03-24,2023-03-24,333,آسمان,37.323333,49.617778
333,OIMM,OIII,,IRC603,B737,1402-01-04,18:30:00,1402-01-04,19:21:00,جمعه,Departed,پرواز كرد ,IRC,0,51,departure,2023-03-24,2023-03-24,334,آسمان,36.235198974609375,59.64099884033203
334,OISS,OIAW,,IRC3828,F100,1402-01-04,19:30:00,1402-01-04,19:20:00,جمعه,LANDED,نشست ,IRC,0,-10,arrival,2023-03-24,2023-03-24,335,آسمان,29.5392,52.589802
335,OIII,OISS,EPATG,IRC3773,F100,1402-01-04,19:05:00,1402-01-04,19:08:00,جمعه,Departed,پرواز كرد ,IRC,0,3,departure,2023-03-24,2023-03-24,336,آسمان,35.68920135498047,51.31340026855469
336,OISS,OIII,EPATE,IRC3781,F100,1402-01-04,19:15:00,1402-01-04,19:07:00,جمعه,LANDED,نشست ,IRC,0,-8,arrival,2023-03-24,2023-03-24,337,آسمان,29.5392,52.589802
337,OIMM,OIII,,IRC601,F100,1402-01-04,18:55:00,1402-01-04,18:47:00,جمعه,LANDED,نشست ,IRC,0,-8,arrival,2023-03-24,2023-03-24,338,آسمان,36.235198974609375,59.64099884033203
338,OIII,OITR,EPAPO,IRC3854,737,1402-01-04,17:15:00,1402-01-04,18:40:00,جمعه,Departed,پرواز كرد ,IRC,0,85,departure,2023-03-24,2023-03-24,339,آسمان,35.68920135498047,51.31340026855469
339,OISS,OIAW,NULL,IRC3828,100,1402-01-04,18:25:00,1402-01-04,18:32:00,جمعه,پروازکرد18:32,NULL,EP,0,0,departure,2023-03-24,2023-03-24,340,آسمان,29.5392,52.589802
340,OIGG,OIII,,IRC845,ATR-72-500,1402-01-04,18:20:00,1402-01-04,18:32:00,جمعه,Departed,پرواز كرد ,IRC,0,12,departure,2023-03-24,2023-03-24,341,آسمان,37.323333,49.617778
341,OIYY,OIMM,,IRC619,B737,1402-01-04,17:40:00,1402-01-04,18:06:00,جمعه,LANDED,نشست ,IRC,0,26,arrival,2023-03-24,2023-03-24,342,آسمان,31.9048995972,54.2765007019
342,OISS,OIII,NULL,IRC3781,f100,1402-01-04,17:50:00,1402-01-04,18:04:00,جمعه,پروازکرد18:04,NULL,EP,0,0,departure,2023-03-24,2023-03-24,343,آسمان,29.5392,52.589802
343,OIII,OIGG,,IRC844,ATR-72-500,1402-01-04,17:40:00,1402-01-04,17:46:00,جمعه,LANDED,نشست ,IRC,0,6,arrival,2023-03-24,2023-03-24,344,آسمان,35.68920135498047,51.31340026855469
344,OIMM,OIII,,IRC601,F100,1402-01-04,17:30:00,1402-01-04,17:42:00,جمعه,Ready,آماده پرواز ,IRC,0,12,departure,2023-03-24,2023-03-24,345,آسمان,36.235198974609375,59.64099884033203
345,OITL,OIII,EPATF,IRC3711,F100,1402-01-04,17:35:00,1402-01-04,17:27:00,جمعه,LANDED,نشست ,IRC,0,-8,arrival,2023-03-24,2023-03-24,346,آسمان,38.3256988525,48.4244003296
346,OIKB,OISS,NULL,IRC3795,100,1402-01-04,17:35:00,1402-01-04,17:15:00,جمعه, نشست17:15,NULL,EP,0,0,arrival,2023-03-24,2023-03-24,347,آسمان,27.218299865722656,56.37779998779297
347,OIYY,OIMM,NULL,IRC619,NULL,1402-01-04,16:10:00,1402-01-04,17:00:00,جمعه,پروازکرد17:00,NULL,EP,0,0,departure,2023-03-24,2023-03-24,348,آسمان,31.9048995972,54.2765007019
348,OIII,OIGG,EPATZ,IRC844,ATR-72-500,1402-01-04,16:35:00,1402-01-04,17:00:00,جمعه,Departed,پرواز كرد ,IRC,0,25,departure,2023-03-24,2023-03-24,349,آسمان,35.68920135498047,51.31340026855469
349,OIKB,OIII,EPAPO,IRC645,737-700,1402-01-04,16:00:00,1402-01-04,16:59:00,جمعه,LANDED,نشست ,IRC,0,59,arrival,2023-03-24,2023-03-24,350,آسمان,27.218299865722656,56.37779998779297
350,OITL,OIII,,IRC3711,F100,1402-01-04,16:35:00,1402-01-04,16:48:00,جمعه,Departed,پرواز كرد ,IRC,0,13,departure,2023-03-24,2023-03-24,351,آسمان,38.3256988525,48.4244003296
351,OINR,OIMM,,IRC829,F100,1402-01-04,16:40:00,1402-01-04,16:39:00,جمعه,LANDED,نشست ,IRC,0,-1,arrival,2023-03-24,2023-03-24,352,آسمان,36.9099006652832,50.67959976196289
352,OIKB,OISS,NULL,IRC3795,NULL,1402-01-04,16:35:00,1402-01-04,16:33:00,شنبه,پروازکرد16:33,NULL,EP,0,0,departure,2023-03-24,2023-03-24,353, آسمان,27.218299865722656,56.37779998779297
353,OIAA,OISS,NULL,IRC3721,f100,1402-01-04,16:50:00,1402-01-04,16:30:00,جمعه, نشست16:30,NULL,EP,0,0,arrival,2023-03-24,2023-03-24,354,آسمان,30.367887,48.230075
354,OIKB,OISS,NULL,IRC3795,100,1402-01-04,16:30:00,1402-01-04,16:30:00,جمعه,پروازکرد16:30,NULL,EP,0,0,departure,2023-03-24,2023-03-24,355, آسمان,27.218299865722656,56.37779998779297
355,OIII,OITL,,IRC3710,F100,1402-01-04,16:05:00,1402-01-04,16:02:00,جمعه,LANDED,نشست ,IRC,0,-3,arrival,2023-03-24,2023-03-24,356,آسمان,35.68920135498047,51.31340026855469
356,OIMM,OIYY,NULL,IRC618,NULL,1402-01-04,15:20:00,1402-01-04,16:00:00,جمعه, نشست16:00,NULL,EP,0,0,arrival,2023-03-24,2023-03-24,357,آسمان,36.235198974609375,59.64099884033203
357,OISS,OIKB,NULL,IRC3794,NULL,1402-01-04,16:05:00,1402-01-04,15:52:00,شنبه, نشست15:52,NULL,EP,0,0,arrival,2023-03-24,2023-03-24,358, آسمان,29.5392,52.589802
358,OIAA,OISS,,IRC3821,MD82,1402-01-04,15:45:00,1402-01-04,15:52:00,جمعه,Departed,پرواز كرد ,IRC,0,7,departure,2023-03-24,2023-03-24,359,آسمان,30.367887,48.230075
359,OISS,OIKB,NULL,IRC3794,100,1402-01-04,16:00:00,1402-01-04,15:49:00,جمعه, نشست15:49,NULL,EP,0,0,arrival,2023-03-24,2023-03-24,360, آسمان,29.5392,52.589802
360,OIKB,OIII,NULL,IRC645,Boeing734,1402-01-04,14:20:00,1402-01-04,15:27:00,جمعه,پروازکرد15:27,NULL,EP,0,0,departure,2023-03-24,2023-03-24,361, آسمان,27.218299865722656,56.37779998779297
361,OIII,OITL,EPATF,IRC3710,F100,1402-01-04,15:05:00,1402-01-04,15:17:00,جمعه,Departed,پرواز كرد ,IRC,0,12,departure,2023-03-24,2023-03-24,362,آسمان,35.68920135498047,51.31340026855469
362,OING,OIII,EPATZ,IRC631,ATR-72-500,1402-01-04,15:30:00,1402-01-04,15:08:00,جمعه,LANDED,نشست ,IRC,0,-22,arrival,2023-03-24,2023-03-24,363,آسمان,36.9094009399,54.4012985229
363,OISS,OIKB,NULL,IRC3794,100,1402-01-04,15:00:00,1402-01-04,15:03:00,جمعه,پروازکرد15:03,NULL,EP,0,0,departure,2023-03-24,2023-03-24,364,آسمان,29.5392,52.589802
364,OIMM,OIYY,,IRC618,B737,1402-01-04,13:50:00,1402-01-04,15:01:00,جمعه,Departed,پرواز كرد ,IRC,0,71,departure,2023-03-24,2023-03-24,365,آسمان,36.235198974609375,59.64099884033203
365,OISS,OIAA,,IRC3820,MD82,1402-01-04,15:15:00,1402-01-04,14:52:00,جمعه,LANDED,نشست ,IRC,0,-23,arrival,2023-03-24,2023-03-24,366,آسمان,29.5392,52.589802
366,OIGG,OIKB,NULL,IRC647,Boeing734,1402-01-04,13:30:00,1402-01-04,14:19:00,جمعه, نشست14:19,NULL,EP,0,0,arrival,2023-03-24,2023-03-24,367, آسمان,37.323333,49.617778
367,OING,OIII,,IRC631,ATR-72-500,1402-01-04,14:10:00,1402-01-04,14:13:00,جمعه,Departed,پرواز كرد ,IRC,0,3,departure,2023-03-24,2023-03-24,368,آسمان,36.9094009399,54.4012985229
368,OISS,OIAA,NULL,IRC3820,f100,1402-01-04,14:10:00,1402-01-04,14:10:00,جمعه,پروازکرد14:10,NULL,EP,0,0,departure,2023-03-24,2023-03-24,369,آسمان,29.5392,52.589802
369,OIGG,OISS,NULL,IRC3941,NULL,1402-01-04,14:10:00,1402-01-04,13:59:00,جمعه, نشست13:59,NULL,EP,0,0,arrival,2023-03-24,2023-03-24,370,آسمان,37.323333,49.617778
370,OIZC,OIMM,,IRC3928,B737,1402-01-04,13:00:00,1402-01-04,13:52:00,جمعه,LANDED,نشست ,IRC,0,52,arrival,2023-03-24,2023-03-24,371,آسمان,25.4433002472,60.3820991516
371,OISS,OIII,EPATG,IRC3772,F100,1402-01-04,14:05:00,1402-01-04,13:40:00,جمعه,LANDED,نشست ,IRC,0,-25,arrival,2023-03-24,2023-03-24,372,آسمان,29.5392,52.589802
372,OIMM,OING,,IRC637,ATR-72-500,1402-01-04,13:40:00,1402-01-04,13:29:00,جمعه,LANDED,نشست ,IRC,0,-11,arrival,2023-03-24,2023-03-24,373,آسمان,36.235198974609375,59.64099884033203
373,OIMM,OINR,,IRC828,F100,1402-01-04,13:00:00,1402-01-04,13:16:00,جمعه,Departed,پرواز كرد ,IRC,0,16,departure,2023-03-24,2023-03-24,374,آسمان,36.235198974609375,59.64099884033203
374,OIII,OISS,NULL,IRC3780,f100,1402-01-04,13:10:00,1402-01-04,13:10:00,جمعه, نشست13:10,NULL,EP,0,0,arrival,2023-03-24,2023-03-24,375,آسمان,35.68920135498047,51.31340026855469
375,OIGG,OISS,,IRC3941,100,1402-01-04,12:30:00,1402-01-04,12:39:00,جمعه,Departed,پرواز كرد ,IRC,0,9,departure,2023-03-24,2023-03-24,376,آسمان,37.323333,49.617778
376,OISS,OIII,NULL,IRC3772,100,1402-01-04,12:30:00,1402-01-04,12:30:00,جمعه,پروازکرد12:30,NULL,EP,0,0,departure,2023-03-24,2023-03-24,377,آسمان,29.5392,52.589802
377,OIGG,OIKB,,IRC647,B737-400,1402-01-04,11:30:00,1402-01-04,12:29:00,جمعه,Departed,پرواز كرد ,IRC,0,59,departure,2023-03-24,2023-03-24,378,آسمان,37.323333,49.617778
378,OIMM,OING,,IRC637,ATR,1402-01-04,11:55:00,1402-01-04,12:09:00,جمعه,Departed,پرواز كرد ,IRC,0,14,departure,2023-03-24,2023-03-24,379,آسمان,36.235198974609375,59.64099884033203
379,OIII,OIMM,,IRC600,F100,1402-01-04,12:10:00,1402-01-04,12:06:00,جمعه,LANDED,نشست ,IRC,0,-4,arrival,2023-03-24,2023-03-24,380,آسمان,35.68920135498047,51.31340026855469
380,OIII,OISS,EPATE,IRC3780,F100,1402-01-04,11:45:00,1402-01-04,12:06:00,جمعه,Departed,پرواز كرد ,IRC,0,21,departure,2023-03-24,2023-03-24,381,آسمان,35.68920135498047,51.31340026855469
381,OISS,OIGG,,IRC3940,100,1402-01-04,12:00:00,1402-01-04,11:47:00,جمعه,LANDED,نشست ,IRC,0,-13,arrival,2023-03-24,2023-03-24,382,آسمان,29.5392,52.589802
382,OIKB,OIGG,,IRC646,B737-400,1402-01-04,10:40:00,1402-01-04,11:23:00,جمعه,LANDED,نشست ,IRC,0,43,arrival,2023-03-24,2023-03-24,383,آسمان,27.218299865722656,56.37779998779297
383,OITT,OISS,NULL,IRC3813,100,1402-01-04,11:20:00,1402-01-04,11:00:00,جمعه, نشست11:00,NULL,EP,0,0,arrival,2023-03-24,2023-03-24,384,آسمان,38.1338996887207,46.23500061035156
384,OING,OIMM,,IRC636,ATR,1402-01-04,11:00:00,1402-01-04,10:59:00,جمعه,LANDED,نشست ,IRC,0,-1,arrival,2023-03-24,2023-03-24,385,آسمان,36.9094009399,54.4012985229
385,OIII,OIMM,EPATF,IRC600,F100,1402-01-04,10:45:00,1402-01-04,10:56:00,جمعه,Departed,پرواز كرد ,IRC,0,11,departure,2023-03-24,2023-03-24,386,آسمان,35.68920135498047,51.31340026855469
386,OISS,OIGG,NULL,IRC3940,100,1402-01-04,10:25:00,1402-01-04,10:27:00,جمعه,پروازکرد10:27,NULL,EP,0,0,departure,2023-03-24,2023-03-24,387,آسمان,29.5392,52.589802
387,OIBB,OIII,EPATE,IRC3915,FOKER100,1402-01-04,10:30:00,1402-01-04,10:23:00,جمعه,LANDED,نشست ,IRC,0,-7,arrival,2023-03-24,2023-03-24,388,آسمان,28.9447994232,50.8345985413
388,OING,OIMM,,IRC636,ATR-72-500,1402-01-04,09:25:00,1402-01-04,09:38:00,جمعه,Departed,پرواز كرد ,IRC,0,13,departure,2023-03-24,2023-03-24,389,آسمان,36.9094009399,54.4012985229
389,OIKB,OIGG,NULL,IRC646,Boeing734,1402-01-04,08:30:00,1402-01-04,09:33:00,جمعه,پروازکرد09:33,NULL,EP,0,0,departure,2023-03-24,2023-03-24,390, آسمان,27.218299865722656,56.37779998779297
390,OIZH,OISS,NULL,IRC819,100,1402-01-04,09:35:00,1402-01-04,09:15:00,جمعه, نشست09:15,NULL,EP,0,0,arrival,2023-03-24,2023-03-24,391,آسمان,29.47570037841797,60.90620040893555
391,OITT,OISS,NULL,IRC3813,100,1402-01-04,09:30:00,1402-01-04,09:15:00,جمعه,پروازکرد09:15,NULL,EP,0,0,departure,2023-03-24,2023-03-24,392, آسمان,38.1338996887207,46.23500061035156
392,OIBB,OIII,NULL,IRC3915,NULL,1402-01-04,09:00:00,1402-01-04,09:10:00,جمعه,پروازکرد09:10,NULL,EP,0,0,departure,2023-03-24,2023-03-24,393, آسمان,28.9447994232,50.8345985413
393,OICI,OIII,EPATF,IRC841,F100,1402-01-04,09:20:00,1402-01-04,09:02:00,جمعه,LANDED,نشست ,IRC,0,-18,arrival,2023-03-24,2023-03-24,394,آسمان,33.58660125732422,46.40480041503906
394,OIII,OING,,IRC630,ATR-72-500,1402-01-04,08:55:00,1402-01-04,08:47:00,جمعه,LANDED,نشست ,IRC,0,-8,arrival,2023-03-24,2023-03-24,395,آسمان,35.68920135498047,51.31340026855469
395,OISS,OITT,NULL,IRC3812,100,1402-01-04,09:00:00,1402-01-04,08:30:00,جمعه, نشست08:30,NULL,EP,0,0,arrival,2023-03-24,2023-03-24,396, آسمان,29.5392,52.589802
396,OIMM,OIZC,,IRC3929,B737,1402-01-04,07:50:00,1402-01-04,08:30:00,جمعه,Departed,پرواز كرد ,IRC,0,40,departure,2023-03-24,2023-03-24,397,آسمان,36.235198974609375,59.64099884033203
397,OIII,OIKB,NULL,IRC644,Boeing734,1402-01-04,07:50:00,1402-01-04,08:26:00,جمعه, نشست08:26,NULL,EP,0,0,arrival,2023-03-24,2023-03-24,398, آسمان,35.68920135498047,51.31340026855469
398,OIII,OIBB,NULL,IRC3914,NULL,1402-01-04,08:25:00,1402-01-04,08:20:00,جمعه, نشست08:20,NULL,EP,0,0,arrival,2023-03-24,2023-03-24,399, آسمان,35.68920135498047,51.31340026855469
399,OICI,OIII,,IRC841,100,1402-01-04,08:10:00,1402-01-04,08:10:00,جمعه,Departed,پرواز كرد ,IRC,0,0,departure,2023-03-24,2023-03-24,400,آسمان,33.58660125732422,46.40480041503906
400,OIZH,OISS,NULL,IRC819,NULL,1402-01-04,08:00:00,1402-01-04,08:00:00,جمعه,پروازکرد08:00,NULL,EP,0,0,departure,2023-03-24,2023-03-24,401, آسمان,29.47570037841797,60.90620040893555
401,OIII,OING,EPATZ,IRC630,ATR-72-500,1402-01-04,07:25:00,1402-01-04,07:44:00,جمعه,Departed,پرواز كرد ,IRC,0,19,departure,2023-03-24,2023-03-24,402,آسمان,35.68920135498047,51.31340026855469
402,OIII,OICI,,IRC840,100,1402-01-04,07:40:00,1402-01-04,07:27:00,جمعه,LANDED,نشست ,IRC,0,-13,arrival,2023-03-24,2023-03-24,403,آسمان,35.68920135498047,51.31340026855469
403,OISS,OIZH,NULL,IRC818,NULL,1402-01-04,07:35:00,1402-01-04,07:20:00,جمعه, نشست07:20,NULL,EP,0,0,arrival,2023-03-24,2023-03-24,404, آسمان,29.5392,52.589802
404,OIII,OIBB,EPATE,IRC3914,FOKER100,1402-01-04,06:55:00,1402-01-04,07:09:00,جمعه,Departed,پرواز كرد ,IRC,0,14,departure,2023-03-24,2023-03-24,405,آسمان,35.68920135498047,51.31340026855469
405,OIII,OIMM,,IRC602,B737,1402-01-04,07:00:00,1402-01-04,07:08:00,جمعه,LANDED,نشست ,IRC,0,8,arrival,2023-03-24,2023-03-24,406,آسمان,35.68920135498047,51.31340026855469
406,OIII,OIKB,EPAPO,IRC644,737-700,1402-01-04,06:00:00,1402-01-04,07:01:00,جمعه,Departed,پرواز كرد ,IRC,0,61,departure,2023-03-24,2023-03-24,407,آسمان,35.68920135498047,51.31340026855469
407,OISS,OITT,NULL,IRC3812,100,1402-01-04,07:00:00,1402-01-04,07:00:00,جمعه,پروازکرد07:00,NULL,EP,0,0,departure,2023-03-24,2023-03-24,408,آسمان,29.5392,52.589802
408,OIII,OICI,EPATF,IRC840,F100,1402-01-04,06:25:00,1402-01-04,06:39:00,جمعه,Departed,پرواز كرد ,IRC,0,14,departure,2023-03-24,2023-03-24,409,آسمان,35.68920135498047,51.31340026855469
409,OISS,OIZH,NULL,IRC818,100,1402-01-04,06:00:00,1402-01-04,06:10:00,جمعه,پروازکرد06:10,NULL,EP,0,0,departure,2023-03-24,2023-03-24,410,آسمان,29.5392,52.589802
410,OIII,OIMM,EPAPQ,IRC602,737-700,1402-01-04,05:30:00,1402-01-04,06:02:00,جمعه,Departed,پرواز كرد ,IRC,0,32,departure,2023-03-24,2023-03-24,411,آسمان,35.68920135498047,51.31340026855469
411,OISS,OIII,NULL,IRC3768,100,1402-01-04,05:30:00,1402-01-04,05:30:00,پنجشنبه,NULL,NULL,EP,0,0,departure,2023-03-24,2023-03-24,412,آسمان,29.5392,52.589802
